,event_type,id,project_id,resource_id,resource_name,procore_timestamp,recieved_timestamp,user_id,ulid
158609,update,21481931264,907953,6570159,Observation Items,2021-10-27 03:15:06.463591,2021-10-27 03:15:18.143000,4875425,01FJZVX2D5ZAX6K58MZZGQ84AB
158607,update,21481930562,907953,6803801,Observation Items,2021-10-27 03:15:01.692671,2021-10-27 03:15:18.527000,4875425,01FJZVWXGKN3DZBCJE4DDSM4D7
158608,update,21481931265,907953,7611997,Inspection Checklists,2021-10-27 03:15:06.463591,2021-10-27 03:15:18.676000,4875425,01FJZVX2D5ZAX6K58MZZGQ84AC
158606,update,21481930563,907953,8470247,Inspection Checklists,2021-10-27 03:15:01.692671,2021-10-27 03:15:18.854000,4875425,01FJZVWXGKN3DZBCJE4DDSM4D8
158610,update,21489167825,1616426,9094513,Inspection Checklists,2021-10-27 13:01:42.120184,2021-10-27 13:02:03.424000,7097359,01FK0XF4BMVXGEW37N4BKP1237
158611,update,21489167820,1616426,6840282,Observation Items,2021-10-27 13:01:42.120184,2021-10-27 13:02:06.350000,7097359,01FK0XF4BMVXGEW37N4BKP1235
158612,update,21489331571,1208268,6773288,Observation Items,2021-10-27 13:04:51.532035,2021-10-27 13:05:15.285000,1261709,01FK0XMX16R7489WYE1YFBF4XB
158614,update,21489689927,907953,6571569,Observation Items,2021-10-27 13:11:52.214095,2021-10-27 13:12:53.331000,5960447,01FK0Y1TECYJ3P24V90ZXFT4MN
158613,update,21489651130,907953,6559816,Observation Items,2021-10-27 13:11:03.781420,2021-10-27 13:12:55.017000,5960447,01FK0Y08PRJ39379XSNSKMG06C
158615,update,21489704873,907953,6718055,Observation Items,2021-10-27 13:12:14.627084,2021-10-27 13:12:55.294000,5960447,01FK0Y2EGQEYFT7ESAD626HE54
158616,update,21489747790,907953,6718151,Observation Items,2021-10-27 13:13:06.384566,2021-10-27 13:13:18.408000,5960447,01FK0Y40PX6SRT4G6BHB0584C9
158617,update,21489795861,907953,6718186,Observation Items,2021-10-27 13:14:07.509784,2021-10-27 13:14:39.352000,5960447,01FK0Y5W2HKB5E9B7ZYCHRXJBB
158618,update,21489849609,907953,6718225,Observation Items,2021-10-27 13:15:14.376284,2021-10-27 13:15:30.697000,5960447,01FK0Y7XCWXGQQB3R75VDW4FGV
158619,update,21489890740,907953,6718263,Observation Items,2021-10-27 13:16:03.385084,2021-10-27 13:16:15.911000,5960447,01FK0Y9DN853XTH3KWA909VM2D
158620,update,21489917652,907953,6718298,Observation Items,2021-10-27 13:16:35.372670,2021-10-27 13:16:44.246000,5960447,01FK0YACNMY4FETTK5XEYR461G
158621,update,21489975143,907953,6812488,Observation Items,2021-10-27 13:17:42.443061,2021-10-27 13:17:52.528000,5960447,01FK0YCEXBXEA499JHEHGJNVKF
158622,update,21490001779,907953,6812544,Observation Items,2021-10-27 13:18:07.550020,2021-10-27 13:18:18.325000,5960447,01FK0YD6FJSNPFDXTGWPXC4F4B
158623,update,21490014723,907953,6812648,Observation Items,2021-10-27 13:18:27.967216,2021-10-27 13:18:40.533000,5960447,01FK0YDV38D3KXED60M3YY227D
158624,update,21490049987,907953,6812880,Observation Items,2021-10-27 13:19:19.058530,2021-10-27 13:19:25.036000,5960447,01FK0YFD2G5KQNGRQP3BENY46C
158625,update,21490106707,907953,6812955,Observation Items,2021-10-27 13:20:19.974065,2021-10-27 13:20:23.688000,5960447,01FK0YH83WPMHS9NA1Y21KQAE5
158626,update,21490185730,907953,6813900,Observation Items,2021-10-27 13:21:50.359146,2021-10-27 13:21:57.195000,5960447,01FK0YM066WBWW7MXZAGKWPP9B
158627,update,21490227619,907953,6813968,Observation Items,2021-10-27 13:22:54.521384,2021-10-27 13:23:03.729000,5960447,01FK0YNYW55GGVAW2CPKKXXWBD
